Comment,Language,Sentiment
"palagi siyang nagsastutter pero alam mong alam niya yung tinuturo niya, problem is, hindi niya maibaba sa level ng student yung way of teaching niya.",tlen,-1
Kung saan saan napupunta lesson pag siya nag eexplain.,tlen,-1
Palagi siyang late.,tlen,-1
"Ginagawa kaming kinder, puro games na lang lagi every meeting, wala naman kaming natututunan, ano na ma'am?",tlen,-1
Mahirap magbigay ng problem. High expectation sa students,tlen,-1
Sinisigurado niya na everyone can follow his lecture.,tlen,1
Mahirap magpaquiz,tlen,-1
Palagi niyang kinoconnect sa life yung lessons niya.,tlen,1
Buong finals period di pumasok. Walang nakakaintindi sa tinuturo niya,tlen,-1
"Alam ang tinuturo, hindi pretentious.",tlen,1
Friendly and approachable para maging motivated ang students,tlen,1
"Sobrang stressed na ko sa subject, napansin niya sabi wag daw kalimutan yung sarili, okay lang mapagod. Naiintindihan niya pinagdadanaan ng students",tlen,1
Laging delay sa schedule.,tlen,-1
di ko siya nakitang nakangiti demonyo ata e. Di pa kami pinapakain e apat na oras yung class namin,tlen,-1
Sobrang entertaining ginagawa lahat para matawa class,tlen,1
Madami siyang ways to present his lesson,tlen,1
"Ang hirap ng seatworks and assignments, kaya pag dating sa quiz, madalina! Ang galing",tlen,1
Ang hinhin niya! Super! Hina pa ng boses.,tlen,-1
Sasabihin niya may assignment kahit wala naman siyang binigay.,tlen,-1
May consideration sa mga students niya na may itsura,tlen,-1
Parating ginagamit ang cellphone,tlen,-1
Alam niya yung pangangailangan naming sa subject niya.,tlen,1
Halatang halata na forte niya yung tinuturo niya.,tlen,1
"Taeng tae na ko pero ayaw ako palabasin kasi exams raw. Di ako mandadaya maam, natatae lang talaga ko.",tlen,-1
Binababaaan niya yung vocabulary niya pagnagtuturo kaya mas mabilis namin siyang naiinitindihan.,tlen,1
Masungit magturo. Di nagbibigay ng consideration sa mga estudyante niya. Di ginagamit yung mga powerpoint na binibigay,tlen,-1
Nanghuhula ng grade si maam,tlen,-1
Merong baklang prof na namemersonal.,tlen,-1
Consistent magturo based sa book. Good teaching style,tlen,1
"Ayaw na ayaw n'yang tinatama siya, example, kapag mali yung check niya sa quiz, nagagalit",tlen,-1
Puro reporting hindi nagtuturo. Kami na nagtuturo sumusweldo lang siya,tlen,-1
laging absent yay,tlen,-1
Mahilig magjoke sa gitna ng lecture. Marunong makisama sa students,tlen,1
Maraming life lessons na matututunan sa class niya.,tlen,1
marunong siya magturo pero ginagawang compulsory ang recitation,tlen,-1
Hindi siya nagrerespond sa kahit isang email namin.,tlen,-1
"In two hours, pinagkakasiya niya yung maraming lesson, ang powerpoint slides niya ay minimum na ang 5-1 ",tlen,-1
Maraming visual guides. Gives additional points to students reciting.,tlen,1
Bumili ng coke sa Gate One,tlen,0
Minsan nasosobrahan siya sa kwento kaya ang tagal bago naming matapos ang isang chapter.,tlen,-1
Hindi siya namimigay nang points sa mga kinaiinisan niya estudyante.,tlen,-1
"Teaching is his passion, galing!",tlen,1
Maraming examples na tinuturo. Nagbibigay ng equal chances sa recitation.,tlen,1
Hindi mawawala yung topic na good virtues pag ka nagtuturo siya.,tlen,1
"Maayos magpaquiz, lahat ng quiz niya tinuro or sinabi na need aralin.",tlen,1
bigtime si sir,tlen,0
"matalinong guro, pwedeng kaibigan, madaling lapitan and ang favorite line niya is ""ipagpepray kita anak"", ""kelangan competitive tayo guys"" and ""singko ka na anak"".",tlen,1
Sobrang naeengage kami pag siya nagtuturo,tlen,1
Nagustuhan ko yung subject na ito dahil sa kanya.,tlen,1
"May pagka manyak, may sexual innuendos pag nagdidiscuss",tlen,-1
"Ang galing niya, ang daming assignments and seatworks kaya nagegets din namin",tlen,1
organized lahat ng lectures niya and he sees to it na nasusunod ang schedule na pinost niya for every lecture/quiz/sw/hw.,tlen,1
madaling kausap na prof,tlen,1
Maraming incentives na related rin naman sa course namin.,tlen,1
Feeling matalino. Di nakikinig sa suggestions ng mga students niya.,tlen,-1
Memorization lang pero yung subject networking.,tlen,-1
Mataas magbigay ng grade sa students,tlen,1
Kaibigan siya sa labas nang klase at professor sa loob nang klase.,tlen,1
Mahirap siya magpatest pero natuturo niya nang maigi kaya parang dumadali yung tests.,tlen,1
Nagbibigay siya nang make-up test kahit walang valid reason ang pagka absent nang estudyante.,tlen,1
"Walang sinabi sinabi si David Blaine, Harry Potter, at Dumbledore sa prof.na tom ang galing magmagic ng grades.",tlen,-1
Support evidences on each opinion stated is a must lalo na sa akin at nag iincrease ng tiwala,tlen,1
I don't know whats her problem with us. Super sungit at namemersonal.,tlen,-1
magaling naman siyang magturo and madaling lapitan kaso mahirap makipagsched sa kanya ng meeting for Thesis kasi palaging busy.,tlen,-1
"Magaling siya magturo. Pinagbibigyan ang mga estudyante niya magturo. Kahit nagkakamali, pag may nagcorrect, tinatanggap niya.",tlen,1
Pinapaenjoy niya yung mga subject sa students niya. Diverse sa pagturo,tlen,1
"ito yung klase ng prof na mahilig sa babae, mas pinapaboran niya nga estudyante niyang babae lalo na kung maganda, sure pass",tlen,-1
Laging nakastarbucks,tlen,0
Manyak siya and doesn't follow schedules,tlen,-1
Napakaganda nya at di kumukupas. WAlang araw na di siya nagturo at higit pa doon di siya nagpapaquiz ng mahirap at laging sure pass,tlen,1
"Mentor din siya at the same time, hindi lang basta teacher",tlen,1
boring magturo,tlen,-1
Masaya at magaling magturo. Yung tipong makukuha mo talaga yung lesson kasi ituturo niya yung mga possible examples na pwedeng mag pop up.,tlen,1
Parang hindi niya forte yung tinuturo. Hindi magaling sa subject pero sabi ng iba magaling siya sa cisco.,tlen,-1
"Kahit na hindi ka na niya student ngayon, concern pa rin siya sa status mo as a students kung regular ka pa rin ba or may mga failing grades.",tlen,1
"she gives you a guide para sa defense, then on the defense day she makes you laglag in forn of other profs.",tlen,-1
Hindi niya kami ineentertain sa labas nang klase.,tlen,-1
He let his students appreciate the subject he teaches. Di nambabagsak ng student,tlen,1
May prof din ako na super nakakaconnect saming students,tlen,1
Maraming kwento about life na nirerelate sa lessons. Very interesting lessons.,tlen,1
"Sinabi din niya ang makanyang limitasyon, kaya, nagkakaintindihan ang student at ang professors.",tlen,1
Superman siya ang dami niya tinuturuan but she manages to know us all.,tlen,1
Nagdala si sir ng sobrang daming sardinas sa klase,tlen,0
"Does not grade fairly, puro tres or singko lang.",tlen,-1
Strict na nga wala pang substance. Wag ka na magturo sir,tlen,-1
"Madalas man siyang late, pero pero ang galing naman niya magturo, sobra!",tlen,1
Accurate and definite magturo. Hindi kung ano ano lang,tlen,1
finollow back ako sa twitter,tlen,0
Wala siyang pakialam kung may nagchecheating na sa amin.,tlen,-1
Hands-on sa estudyante,tlen,1
"Lagi mang late, naiintindihan naman naming yung tinuturo niya.",tlen,1
Pwede kumain sa class,tlen,1
may sense of fashion na mahilig sa fitted shirt at jeans.,tlen,1
Very visual magturo and explain things through application,tlen,1
May prof na ggss (gandang ganda sa sarili),tlen,-1
"Kahit madalas late, pinakita niya pa rin ang ganda ng history ng pilipinas. Mahusay talaga",tlen,1
Lagi ko siyang nakikita naglalakad sa Main Building,tlen,0
puro basa sa ppt,tlen,-1
Puro kwento at joke kaya nauubos yung time na para sana sa discussion,tlen,-1
Mahusay bilang guro at makakarelate ka sa mga sinasabe nya,tlen,1
Magaling sana siya magturo kaso palaging absent.,tlen,-1
Di nag papaattendance,tlen,-1
Walang sense puro storya na walang meaning kahit hindi related sa lessons.,tlen,-1
Nagpapaexam ng hindi tinuturo,tlen,-1
Ginagawa kaming bata nito ni sir,tlen,-1
Conducts a survey kada buwan,tlen,0
Concerned talaga siya sa students niya,tlen,1
Sa amin niya pinagagawa yung checking nang test papers.,tlen,-1
Kulang parati sa oras yung klase. Maarte sa format.,tlen,-1
Open to ideas not the same with him. Great lessons kahit minor masarap pa rin pasukan,tlen,1
Paborito ko to at masaya mag turo si Ma'am,tlen,1
"Para na siyang kapamilya sa amin, he never let us down",tlen,1
Maarte magturo. Perfectionist.,tlen,-1
Nagjojoke siya para hindi antukin yung buong klase during discussion.,tlen,1
"magaling magturo, namamahiya man minsan or palagi, hindi niya pinapabayaan ang estudyante niya na walang alam after ng lecture.",tlen,1
Hindi fair mag grade.,tlen,-1
"paraan ng pagtuturo niya yung papasagutin ka lang ng activity sa book mula sa first minute hanggang last minute ng klase, every meeting at habang nagsasagot kayo makikita niyo pa siyang natutulog sa table.",tlen,-1
Nagbibigay ng reviewer and pointers sa students,tlen,1
"siya si robocop, palagi siya may lapel",tlen,0
Kahit anong tanong kaya niya sagutin basta tungkol sa lesson,tlen,1
"Hindi tulad nang iba, hindi niya inexplain yung mga computation nang grades naming.",tlen,-1
Hindi binabasa yung pinapasa namin na essays,tlen,-1
"Hanep sa galing! Di na niya kailangan ng book, memorize at alam na alam ang tinuturo.",tlen,1
lagi nakangiti at laging naagawan ng projector at whiteboard marker,tlen,1
"Walang kabuhay-buhay magturo, parang binabasa lang yung binigay na hand-outs. ",tlen,-1
Sobrasobra ang scope nang test niya kaysa sa tinuturo niya.,tlen,-1
Hindi naman nya nagagamit yung mga notes na binibigay nya. Di rin kasi nagtuturo kahit madami pa kaming tanong. Napakabobo rin minsan.,tlen,-1
Deserve niya ang best prof award,tlen,1
Wala siyang pake sa student,tlen,-1
"mabait siya as a person pero hindi ganun kagaling magturo, pwede na kumbaga, favorite line nita is ""is it not?""",tlen,-1
Magaling magturo at laging prepared sa discussion.,tlen,1
Naguupload ng powerpoints para makatulong sa review ng mga estudyante niya,tlen,1
"Laging on time kung pumasok, never been absent, never been late",tlen,1
Hindi masyadong natuturo yung lumalabas sa test,tlen,-1
"Good relationship with students, tropa tropa, teaches and guides well",tlen,1
Mahirap magbigay ng proyekto. Nagpapahiya ng mga estudyante.,tlen,-1
Puro application walang namang tinuturo. Panay self-study,tlen,-1
"Tatawa lang kayo ng tatawa hanggang sa maubos ang time, wala naman kayong natututunan. :(",tlen,-1
nakalimutan niya lagi na nasabi na nya yung joke nya last meeting.,tlen,-1
"Magaling magturo, patas mag grade",tlen,1
Nagtuturo ng iba't ibang technique at forms. Pinapatawa ang mga estudyante niya.,tlen,1
Hindi siya nagbibigay nang quiz pagalam niya na hindi pa naming naiintindihan yung lesson.,tlen,1
hindi natatakot mambagsak ng buong class,tlen,-1
Hindi nakikinig sa suggestion ng student,tlen,-1
tinuturo niya sa estudyante ang lessons na pang 3 meetings in 1 meeting.,tlen,-1
MAgaling mag turo at alam mong may pinagaralan dahil di siya gumagamit ng slides. Madalas rin siyang magpaquiz ng mahirap pero kaya naman,tlen,1
puro fun activities and games,tlen,1
"unbelievable mga stories niya, medyo out of this world.",tlen,-1
Hirap magpaquiz pero di naman nagtuturo,tlen,-1
Dont know kung ano isasagot ko kasi wala naman akong alam sa klase even though im listening,tlen,-1
Malimit siyang magtanong kaya bagsak ang marami sa amin sa recitation.,tlen,-1
"tas in our first quiz, multiple choice kaso wala projector kaya ginawang identification ",tlen,-1
Lagi niya sineset ang mood sa classroom ambiance,tlen,1
Malabo magbigay ng mga requirements,tlen,-1
Kahit religion subject she is still open to ideas even if it is not the traditional catholic beliefs.,tlen,1
binabasa lang niya ang powerpoint.,tlen,-1
Chill and laid back style of teaching. Maayos pa rin kahit chill lang.,tlen,1
"He said, ""we are the cod fish, he's the whale. Stay alive and if you escape, you're gonna be a better cod fish among others."" Really inspired me in 1st year.",en,1
Punctual professor. Gives importance and rewards on students with complete attendance.,en,1
Her jokes are sometimes funny and sometimes not,en,0
"Manyak, if youre not pretty u get a low grade mehn, biased",tlen,-1
follows the syllabus on time.,en,1
He is always absent,en,-1
Parang binabasa lang niya yung libro kapag nagtuturo,tl,-1
Pinapahirap lessons pag inaral sa youtube ang dali lang,tlen,-1
He is not only a teacher but a father for all of his students.,en,1
Always absent,en,-1
Maganda ang mga gamit niyang visuals,tlen,1
Sometimes di na ako naniniwala kasi di na nagsasabi ng totoo,tlen,-1
Treats everyone with respect,en,1
Gave us a good amount of time before a quiz. An excellent professor overall,en,1
Hindi siya namamahiya nang estudyante.,tl,1
the three cores of our university in visible in the way she teaches,en,1
New Visual aids just like any good professors! Thumbs up,en,1
Marunong umintindi at umunawa sa kanyang mga estudyante,tl,1
Lets students participate in discussions. A lot of ideas are being presented in his class.,en,1
Siya ay palaging absent.,tlen,-1
Has favoritism,en,-1
fun and enthusiastic,en,1
"Yung website na lang yung teacher naming, kasi dun niya kami nirerefer",tlen,-1
Wala sa book or diniscuss niya yung nasa exams (nakuha ata sa moon) joke.,tlen,-1
Palagi niyang panararamdam na palagi siyang nandiyan pagka kailangan naming nang tulong.,tl,1
"May prof ako na namemersonal, bumabawi through sobrang hirap na exam and pagbibigay ng super baban a grades",tlen,-1
never gets late.,en,1
Sobrang panget ng pagmumukha niya,tl,-1
Hindi niya alam na nakakasakit na siya nang estudyante sa mga jokes niya.,tlen,-1
Hindi siya gumagamit ng visuals.,tlen,-1
Approaches students if she feels that the student has a problem,en,1
Nagdadaldal siya nang kung ano-ano patunkol sa mga co-teacher niya.,tlen,-1
Knows how to dress well and present herself to the class. Comes early and has a chill ambiance,en,1
Kaya niya kontrolin yung klase kahit sobrang gulo na naming,tl,1
Nakakaintimidate siya nung umpisa pero nung tumagal unti unti siyang nagrereachout sa amin,tlen,1
"She explained it the opposite way, and got everyone really confused and people were screwing up their read outs.",en,-1
Corny ng mga jokes,tlen,-1
I don't know if she's teaching or whispering. Speaking louder would help maam thank you,en,-1
Parang barkada mo lang siya kasi mabait and madaling kaibiganin.,tl,1
Always on presentable and on time.,en,1
"Akala namin super strict niya, pero as time passed by, ang bait pala",tlen,1
artistic siya at mahilig sa cosplay.,tlen,1
Lagi kasama ni maam anak niya,tlen,0
Pinapalitan niya yung settings ng aircon every meeting,tlen,0
"Kahit na marami siyang kainakailangan as a prof or coordinator, ipupush ka niya dahil alam niyang kaya mo and hindi dahil nagpapahirap lang siya.",tlen,1
Mastered the subject at hand and fair in grading,en,1
"Kahit na boring magturo, at least sure pass ka or at least binababa niya ang passing rate to the level na maraming papasa.",tlen,1
Treats her students like her own sons and daughters,en,1
Madaling mawalan ng pasensya,tl,-1
Patas magbigay ng grado,tl,1
sobrang solid kabonding. parang tropa lang ang turingan.,tlen,1
Shows mastery in the subject,en,1
Maitim ang kanyang balat,tl,0
Masarap pakinggan yung boses niya.,tl,1
"Sobrang galing lang, pag nag eexam kami, naririnig ko yung boses niya, like, SERIOUSLY",tlen,1
Ang labo magturo ang hirap pa magpatest.,tlen,-1
nakaupo lang sya madals pagnagtututro.,tl,-1
Yung mga tanong niya wala sa tinuturo niya,tl,-1
Always on time and follows the syllabus just the way it is.,en,1
Doesn't teach at all.,en,-1
Siya ay magaling magturo at mahirap magpaexam ngunit masaya ang klase,tlen,1
Doesn't care if the student learns or not,en,-1
"speaks so fast, explains so fast",en,-1
Impromptu lectures,en,-1
Teaches us values in life.,en,1
Nagbibigay ng chance na makabawi ang students,tlen,1
Malakas magbigay ng incentives!!!!,tlen,1
She treats her students like her children.,en,1
No comment,en,0
Always overtime,en,-1
Good atmosphere for learning. Helped us understand the course and made it easier and simplified it for us. Miss you sir,en,1
"Magaling na prof sa MATH, bago magproceed sa susunod na topic nagbibigay ng real-life examples para mas madaling maintindihan.",tlen,1
